iter	Passed	Remaining
0	57	57854
1	58	29179
2	58	19567
3	59	14829
4	60	11948
5	60	10034
6	61	8654
7	61	7612
8	62	6833
9	62	6172
10	62	5652
11	63	5217
12	63	4839
13	64	4518
14	64	4241
15	65	4002
16	65	3784
17	65	3592
18	66	3420
19	66	3266
20	67	3124
21	67	2999
22	68	2894
23	68	2791
24	69	2693
25	69	2603
26	69	2521
27	70	2442
28	70	2366
29	71	2305
30	71	2241
31	72	2178
32	72	2119
33	72	2063
34	73	2020
35	73	1978
36	74	1938
37	75	1905
38	75	1869
39	76	1834
40	76	1796
41	77	1766
42	78	1737
43	78	1708
44	79	1678
45	79	1647
46	80	1622
47	80	1595
48	80	1568
49	81	1544
50	81	1520
51	82	1498
52	82	1475
53	82	1453
54	83	1435
55	83	1414
56	84	1394
57	84	1378
58	85	1358
59	85	1344
60	86	1328
61	86	1316
62	87	1302
63	88	1289
64	88	1275
65	89	1261
66	89	1249
67	89	1232
68	90	1218
69	90	1204
70	91	1192
71	91	1180
72	92	1168
73	92	1156
74	93	1149
75	93	1139
76	94	1127
77	94	1115
78	94	1104
79	95	1094
80	95	1084
81	96	1075
82	96	1066
83	97	1057
84	97	1046
85	98	1046
86	98	1037
87	99	1030
88	100	1025
89	100	1017
90	101	1010
91	101	1004
92	102	997
93	102	991
94	103	984
95	103	977
96	104	970
97	104	963
98	105	958
99	105	950
100	106	944
101	106	935
102	106	928
103	107	922
104	107	918
105	108	912
106	108	907
107	109	902
108	109	896
109	110	892
110	110	888
111	111	883
112	111	877
113	112	873
114	112	868
115	113	863
116	113	859
117	114	856
118	114	849
119	115	844
120	115	840
121	116	836
122	116	829
123	116	824
124	117	819
125	117	815
126	118	811
127	118	805
128	118	801
129	119	796
130	119	793
131	120	789
132	120	786
133	121	785
134	122	782
135	122	779
136	123	776
137	123	771
138	124	768
139	124	764
140	124	761
141	125	758
142	125	754
143	126	751
144	126	748
145	127	746
146	128	743
147	129	745
148	129	741
149	130	738
150	130	735
151	131	731
152	131	727
153	131	724
154	132	720
155	132	718
156	133	715
157	134	715
158	135	716
159	135	713
160	136	709
161	136	706
162	137	703
163	137	701
164	138	699
165	138	697
166	139	694
167	139	691
168	140	688
169	140	685
170	140	682
171	141	679
172	141	676
173	142	674
174	142	672
175	143	670
176	143	668
177	144	665
178	144	663
179	145	661
180	145	657
181	145	654
182	146	652
183	146	649
184	147	648
185	147	645
186	148	646
187	149	644
188	149	642
189	150	640
190	150	638
191	151	636
192	151	633
193	152	631
194	152	629
195	152	626
196	153	624
197	153	622
198	154	620
199	154	619
200	155	616
201	155	615
202	156	614
203	156	612
204	157	610
205	157	608
206	158	606
207	158	605
208	159	602
209	159	601
210	160	599
211	160	596
212	160	594
213	161	592
214	161	590
215	162	588
216	162	586
217	162	584
218	163	582
219	164	581
220	164	579
221	164	578
222	165	576
223	165	575
224	166	573
225	167	572
226	167	570
227	167	568
228	168	567
229	169	565
230	169	564
231	170	562
232	170	561
233	171	560
234	171	558
235	171	556
236	172	555
237	172	553
238	173	552
239	173	550
240	174	549
241	174	547
242	175	546
243	175	544
244	176	542
245	176	541
246	176	539
247	177	537
248	177	536
249	178	534
250	178	533
251	179	531
252	179	530
253	180	529
254	180	527
255	181	526
256	181	524
257	182	523
258	182	522
259	182	520
260	183	518
261	183	517
262	184	516
263	184	514
264	185	513
265	185	511
266	185	510
267	186	509
268	186	507
269	187	506
270	187	504
271	188	503
272	188	502
273	188	500
274	189	499
275	189	497
276	190	496
277	190	495
278	190	493
279	191	492
280	191	490
281	192	489
282	192	488
283	193	486
284	193	485
285	194	484
286	194	483
287	194	481
288	195	480
289	196	480
290	196	478
291	196	477
292	197	476
293	197	475
294	198	474
295	198	472
296	199	471
297	199	470
298	200	469
299	200	467
300	200	466
301	201	464
302	201	463
303	202	462
304	202	461
305	203	460
306	203	459
307	203	457
308	204	456
309	204	455
310	205	454
311	205	453
312	205	452
313	206	450
314	206	449
315	206	448
316	207	446
317	207	445
318	208	444
319	208	443
320	208	441
321	209	440
322	209	439
323	209	438
324	210	437
325	210	436
326	211	435
327	211	433
328	212	432
329	212	432
330	213	431
331	213	430
332	214	429
333	214	428
334	215	428
335	216	427
336	216	426
337	217	425
338	217	424
339	218	423
340	218	422
341	218	421
342	219	420
343	219	419
344	220	418
345	220	416
346	221	416
347	221	415
348	222	414
349	222	413
350	222	412
351	223	411
352	223	410
353	224	409
354	224	408
355	225	407
356	225	406
357	226	405
358	226	405
359	227	404
360	227	403
361	228	402
362	228	401
363	229	400
364	229	399
365	229	398
366	230	397
367	230	396
368	231	395
369	231	394
370	232	393
371	232	392
372	232	391
373	233	390
374	233	389
375	234	389
376	235	388
377	235	387
378	236	386
379	236	385
380	237	385
381	237	384
382	237	383
383	238	382
384	239	381
385	239	380
386	239	380
387	240	379
388	240	378
389	241	377
390	241	376
391	242	375
392	242	374
393	242	373
394	243	372
395	243	371
396	244	370
397	244	369
398	244	368
399	245	367
400	245	366
401	246	365
402	246	364
403	246	364
404	247	363
405	247	362
406	248	361
407	248	360
408	248	359
409	249	358
410	249	357
411	250	356
412	250	356
413	251	355
414	251	354
415	251	353
416	252	352
417	252	352
418	253	351
419	253	350
420	253	349
421	254	348
422	254	347
423	255	346
424	255	345
425	256	345
426	256	344
427	257	343
428	257	342
429	257	341
430	258	340
431	258	339
432	259	339
433	259	338
434	259	337
435	260	336
436	260	335
437	261	334
438	261	334
439	261	333
440	262	332
441	262	331
442	263	330
443	263	330
444	264	329
445	264	328
446	264	327
447	265	326
448	265	326
449	266	325
450	266	324
451	266	323
452	267	322
453	267	321
454	268	321
455	268	320
456	268	319
457	269	318
458	269	318
459	270	317
460	270	316
461	270	315
462	271	314
463	271	314
464	272	313
465	272	312
466	272	311
467	273	310
468	273	309
469	273	308
470	274	307
471	274	307
472	275	306
473	275	305
474	275	304
475	276	304
476	276	303
477	277	302
478	277	301
479	277	301
480	278	300
481	278	299
482	279	298
483	279	298
484	279	297
485	280	296
486	280	295
487	281	294
488	281	294
489	281	293
490	282	292
491	282	291
492	283	291
493	283	290
494	283	289
495	284	288
496	284	287
497	285	287
498	285	286
499	285	285
500	286	285
501	286	284
502	287	283
503	287	282
504	287	282
505	288	281
506	288	280
507	289	280
508	289	279
509	289	278
510	290	278
511	291	277
512	291	276
513	291	276
514	292	275
515	292	274
516	293	274
517	293	273
518	294	272
519	294	272
520	295	271
521	295	270
522	295	269
523	296	269
524	296	268
525	297	267
526	297	267
527	298	266
528	298	265
529	298	265
530	299	264
531	299	263
532	300	263
533	300	262
534	300	261
535	301	260
536	301	260
537	302	259
538	302	258
539	302	258
540	303	257
541	303	256
542	304	255
543	304	255
544	304	254
545	305	253
546	305	253
547	306	252
548	306	251
549	306	251
550	307	250
551	307	249
552	308	249
553	308	248
554	309	247
555	309	247
556	310	246
557	310	245
558	310	245
559	311	244
560	311	244
561	312	243
562	312	242
563	313	242
564	313	241
565	314	240
566	314	240
567	314	239
568	315	238
569	315	238
570	316	237
571	316	236
572	317	236
573	317	235
574	317	234
575	318	234
576	318	233
577	319	232
578	319	232
579	319	231
580	320	230
581	320	230
582	320	229
583	321	228
584	321	228
585	322	227
586	322	227
587	323	226
588	323	225
589	324	225
590	324	224
591	324	223
592	325	223
593	325	222
594	326	221
595	326	221
596	326	220
597	327	219
598	327	219
599	328	218
600	328	218
601	329	217
602	329	216
603	329	216
604	330	215
605	330	215
606	331	214
607	331	213
608	331	213
609	332	212
610	332	211
611	333	211
612	333	210
613	333	209
614	334	209
615	334	208
616	334	207
617	335	207
618	335	206
619	336	206
620	336	205
621	337	205
622	338	204
623	338	204
624	339	203
625	339	203
626	340	202
627	340	201
628	340	201
629	341	200
630	341	199
631	342	199
632	342	198
633	342	197
634	343	197
635	343	196
636	344	196
637	344	195
638	344	194
639	345	194
640	345	193
641	346	193
642	346	192
643	346	191
644	347	191
645	347	190
646	348	189
647	348	189
648	348	188
649	349	188
650	349	187
651	350	186
652	350	186
653	351	185
654	351	185
655	352	184
656	352	184
657	352	183
658	353	182
659	353	182
660	354	181
661	354	181
662	354	180
663	355	179
664	355	179
665	356	178
666	356	178
667	357	177
668	357	176
669	358	176
670	358	175
671	359	175
672	359	174
673	359	174
674	360	173
675	360	172
676	360	172
677	361	171
678	361	170
679	362	170
680	362	169
681	363	169
682	363	168
683	363	168
684	364	167
685	364	166
686	365	166
687	365	165
688	365	165
689	366	164
690	366	163
691	366	163
692	367	162
693	367	162
694	368	161
695	368	161
696	369	160
697	369	159
698	369	159
699	370	158
700	370	158
701	371	157
702	371	157
703	372	156
704	372	155
705	372	155
706	373	154
707	373	154
708	374	153
709	374	152
710	374	152
711	375	151
712	375	151
713	375	150
714	376	150
715	376	149
716	377	148
717	377	148
718	378	147
719	378	147
720	378	146
721	379	146
722	379	145
723	379	144
724	380	144
725	380	143
726	381	143
727	381	142
728	382	142
729	382	141
730	382	140
731	383	140
732	383	139
733	384	139
734	384	138
735	385	138
736	385	137
737	386	137
738	386	136
739	387	135
740	387	135
741	387	134
742	389	134
743	389	133
744	389	133
745	390	132
746	390	132
747	391	131
748	391	131
749	391	130
750	392	130
751	392	129
752	392	128
753	393	128
754	393	127
755	394	127
756	394	126
757	394	126
758	395	125
759	395	124
760	396	124
761	396	123
762	396	123
763	397	122
764	397	122
765	398	121
766	398	121
767	398	120
768	399	119
769	399	119
770	400	118
771	400	118
772	401	117
773	401	117
774	402	116
775	402	116
776	403	115
777	403	115
778	403	114
779	404	114
780	404	113
781	405	112
782	405	112
783	406	111
784	407	111
785	407	110
786	407	110
787	408	109
788	408	109
789	409	108
790	409	108
791	409	107
792	410	107
793	411	106
794	411	106
795	412	105
796	412	105
797	413	104
798	413	104
799	413	103
800	414	102
801	414	102
802	415	101
803	415	101
804	415	100
805	416	100
806	416	99
807	417	99
808	417	98
809	417	98
810	418	97
811	418	96
812	419	96
813	419	95
814	419	95
815	420	94
816	420	94
817	421	93
818	421	93
819	421	92
820	422	92
821	422	91
822	423	91
823	423	90
824	424	89
825	424	89
826	424	88
827	425	88
828	425	87
829	425	87
830	426	86
831	426	86
832	427	85
833	427	85
834	427	84
835	428	84
836	428	83
837	429	82
838	429	82
839	429	81
840	430	81
841	430	80
842	430	80
843	431	79
844	431	79
845	432	78
846	432	78
847	432	77
848	433	77
849	433	76
850	434	76
851	434	75
852	434	74
853	435	74
854	435	73
855	436	73
856	436	72
857	436	72
858	437	71
859	437	71
860	438	70
861	438	70
862	438	69
863	439	69
864	439	68
865	440	68
866	440	67
867	441	67
868	441	66
869	441	66
870	442	65
871	442	64
872	443	64
873	443	63
874	443	63
875	444	62
876	444	62
877	445	61
878	445	61
879	446	60
880	446	60
881	446	59
882	447	59
883	447	58
884	448	58
885	449	57
886	449	57
887	450	56
888	450	56
889	450	55
890	451	55
891	451	54
892	452	54
893	452	53
894	453	53
895	453	52
896	453	52
897	454	51
898	454	51
899	455	50
900	455	50
901	455	49
902	456	49
903	456	48
904	457	47
905	457	47
906	457	46
907	458	46
908	458	45
909	459	45
910	459	44
911	460	44
912	460	43
913	460	43
914	461	42
915	461	42
916	462	41
917	462	41
918	462	40
919	463	40
920	463	39
921	463	39
922	464	38
923	464	38
924	465	37
925	465	37
926	466	36
927	466	36
928	466	35
929	467	35
930	467	34
931	468	34
932	468	33
933	468	33
934	469	32
935	469	32
936	470	31
937	470	31
938	470	30
